Header,internal_code
tr|O51865|O51865_ECOLX,kpsT_1
sp|P23888|KPST1_ECOLX,kpsT_2
fig|3136160.3.peg.322,kpsT_558
fig|1913988.2368.peg.875,kpsT_559
fig|680248.4.peg.4404,kpsT_560
fig|1977087.4423.peg.2355,kpsT_561
fig|2583821.6.peg.24,kpsT_562
fig|562.133269.peg.1067,kpsT_563
fig|2099678.67.peg.1130,kpsT_564
fig|3050946.3.peg.1546,kpsT_565
fig|2910174.135.peg.997,kpsT_566
fig|1940285.23.peg.1813,kpsT_567
fig|3080562.3.peg.3112,kpsT_568
fig|413498.25.peg.1847,kpsT_569
fig|2665161.20.peg.2017,kpsT_570
fig|2910174.120.peg.1414,kpsT_571
fig|2021379.191.peg.433,kpsT_572
fig|656.6.peg.3094,kpsT_573
fig|3050463.3.peg.917,kpsT_574
fig|218289.11.peg.3408,kpsT_575
fig|2910174.50.peg.867,kpsT_576
fig|1869212.1012.peg.3108,kpsT_577
fig|2067992.26.peg.349,kpsT_578
fig|3046694.4.peg.2302,kpsT_579
fig|1964191.63.peg.1465,kpsT_580
fig|1904441.754.peg.1652,kpsT_581
fig|588932.33.peg.2978,kpsT_582
fig|1977563.6.peg.1087,kpsT_583
fig|2885169.3.peg.1249,kpsT_584
fig|1940456.70.peg.341,kpsT_585
fig|2510337.43.peg.5442,kpsT_586
fig|74326.4.peg.1787,kpsT_587
fig|2679961.4.peg.4060,kpsT_588
fig|2164130.26.peg.2755,kpsT_589
fig|3151492.4.peg.99,kpsT_590
fig|1872635.64.peg.570,kpsT_591
fig|3239220.3.peg.3379,kpsT_592
fig|2164130.56.peg.433,kpsT_593
fig|2746.8.peg.1406,kpsT_594
fig|1123240.21.peg.1604,kpsT_595
fig|1948890.202.peg.2482,kpsT_596
fig|1486281.93.peg.2037,kpsT_597
fig|3367235.3.peg.2203,kpsT_598
fig|1042.369.peg.1349,kpsT_599
fig|1872479.3.peg.3888,kpsT_600
fig|2030817.4.peg.1866,kpsT_601
fig|1977912.30.peg.2746,kpsT_602
fig|293398.3.peg.1113,kpsT_603
fig|86473.1787.peg.1944,kpsT_604
fig|293344.52.peg.859,kpsT_605
fig|223185.38.peg.2685,kpsT_606
fig|1843236.3.peg.2562,kpsT_607
fig|1196095.471.peg.715,kpsT_608
fig|195.829.peg.652,kpsT_609
fig|391.35.peg.3827,kpsT_610
fig|181674.280.peg.849,kpsT_611
fig|203795.3.peg.3475,kpsT_612
fig|644.702.peg.595,kpsT_613
fig|1500263.5.peg.392,kpsT_614
fig|1481923.3.peg.2641,kpsT_615
fig|197.23329.peg.1467,kpsT_616
fig|2283840.3.peg.4383,kpsT_617
fig|303.172.peg.1541,kpsT_618
fig|441209.3.peg.1216,kpsT_619
fig|2781966.3.peg.1473,kpsT_620
fig|232.6.peg.441,kpsT_621
fig|2487931.3.peg.602,kpsT_622
fig|1214071.7.peg.2505,kpsT_623
fig|2663803.3.peg.132,kpsT_624
fig|2565368.5.peg.2115,kpsT_625
fig|1913988.1176.peg.1955,kpsT_626
fig|2341039.3.peg.2157,kpsT_627
fig|2729615.3.peg.2959,kpsT_628
fig|538947.14.peg.404,kpsT_629
fig|488447.87.peg.8077,kpsT_630
fig|522319.3.peg.4549,kpsT_631
fig|2803939.3.peg.3795,kpsT_632
fig|640030.3.peg.699,kpsT_633
fig|2499222.3.peg.2876,kpsT_634
fig|1705310.3.peg.1434,kpsT_635
fig|1915316.3.peg.2686,kpsT_636
fig|1219051.3.peg.1888,kpsT_637
fig|1909492.3.peg.2379,kpsT_638
fig|487.2289.peg.1632,kpsT_639
fig|1408224.9.peg.2640,kpsT_640
fig|2049043.38.peg.83,kpsT_641
fig|1895810.3.peg.3315,kpsT_642
fig|2026735.832.peg.5612,kpsT_643
fig|294.598.peg.3614,kpsT_644
fig|2053554.44.peg.112,kpsT_645
