Header,internal_code
fig|47678.1201.peg.1599,kpsD_470
fig|159272.1519.peg.1237,kpsD_471
fig|1563703.4.peg.579,kpsD_472
fig|644.571.peg.148,kpsD_473
fig|197.20940.peg.469,kpsD_474
fig|197.25325.peg.1375,kpsD_475
fig|3082157.3.peg.3483,kpsD_476
fig|2033661.26.peg.1788,kpsD_477
fig|195.5122.peg.667,kpsD_478
fig|59823.2550.peg.1690,kpsD_479
fig|28116.2427.peg.2556,kpsD_480
fig|1904254.128.peg.398,kpsD_481
fig|197.15795.peg.1089,kpsD_482
fig|3003259.3.peg.2078,kpsD_483
fig|2030882.39.peg.764,kpsD_484
fig|28080.229.peg.338,kpsD_485
fig|2499141.126.peg.2709,kpsD_486
fig|2706526.3.peg.3754,kpsD_487
fig|1913989.3556.peg.1339,kpsD_488
fig|167968.325.peg.2900,kpsD_489
fig|28116.2534.peg.2504,kpsD_490
fig|1108595.57.peg.2258,kpsD_491
fig|246787.765.peg.4293,kpsD_492
fig|2133765.12.peg.2731,kpsD_493
fig|820.5030.peg.943,kpsD_494
fig|820.6881.peg.1197,kpsD_495
fig|1977087.7011.peg.1207,kpsD_496
fig|239.487.peg.2397,kpsD_497
fig|1235786.3.peg.1462,kpsD_498
fig|40214.403.peg.1900,kpsD_499
fig|479.58.peg.1539,kpsD_500
fig|3107636.38.peg.1975,kpsD_501
fig|479.25.peg.904,kpsD_502
fig|370804.2055.peg.753,kpsD_503
fig|370804.2046.peg.903,kpsD_504
fig|195.343.peg.449,kpsD_505
fig|59823.3483.peg.2318,kpsD_506
fig|3364495.3.peg.1212,kpsD_507
fig|3081617.3.peg.1129,kpsD_508
fig|1917865.245.peg.507,kpsD_509
fig|2498093.994.peg.1600,kpsD_510
fig|28141.1196.peg.3125,kpsD_511
fig|35833.522.peg.2332,kpsD_512
fig|879969.5.peg.2984,kpsD_513
fig|2559234.3.peg.478,kpsD_514
fig|2212467.1345.peg.127,kpsD_515
fig|2447898.147.peg.303,kpsD_516
fig|195.5231.peg.1436,kpsD_517
fig|28258.45.peg.760,kpsD_518
fig|197.14816.peg.983,kpsD_519
fig|167968.754.peg.1576,kpsD_520
fig|246787.737.peg.5158,kpsD_521
fig|2589994.3.peg.2232,kpsD_522
fig|512312.49.peg.2008,kpsD_523
fig|1414654.3.peg.2450,kpsD_524
fig|1920109.3.peg.2130,kpsD_525
fig|370804.955.peg.1580,kpsD_526
fig|195.30493.peg.1427,kpsD_527
fig|562.65496.peg.1126,kpsD_528
fig|195.30508.peg.1196,kpsD_529
fig|278208.58.peg.3417,kpsD_530
fig|239994.7.peg.1484,kpsD_531
fig|153809.1526.peg.1387,kpsD_532
fig|381093.7.peg.133,kpsD_533
fig|79329.201.peg.1575,kpsD_534
fig|2212467.469.peg.1659,kpsD_535
fig|644.43.peg.2672,kpsD_536
fig|2806578.3.peg.2621,kpsD_537
fig|1872444.797.peg.1378,kpsD_538
fig|2807626.4.peg.3033,kpsD_539
fig|885.97.peg.306,kpsD_540
fig|887317.3.peg.1466,kpsD_541
fig|69393.14.peg.391,kpsD_542
fig|2572048.3.peg.1774,kpsD_543
fig|2049047.102.peg.1086,kpsD_544
fig|2859078.3.peg.2613,kpsD_545
fig|512312.8.peg.3236,kpsD_546
fig|2315841.3.peg.3309,kpsD_547
fig|1981031.4.peg.1946,kpsD_548
fig|1123278.3.peg.1630,kpsD_549
fig|370804.589.peg.2710,kpsD_550
fig|562.60318.peg.3468,kpsD_551
fig|1913989.854.peg.5057,kpsD_552
fig|2742615.3.peg.3296,kpsD_553
fig|51367.6.peg.1216,kpsD_554
fig|1930021.4.peg.889,kpsD_555
fig|2478969.3.peg.4359,kpsD_556
fig|29523.153.peg.1201,kpsD_557
fig|47678.1192.peg.3396,kpsD_558
fig|197.22289.peg.227,kpsD_559
fig|2049047.110.peg.471,kpsD_560
fig|159272.963.peg.110,kpsD_561
fig|167968.129.peg.441,kpsD_562
fig|29523.224.peg.2071,kpsD_563
fig|195.1095.peg.1226,kpsD_564
fig|59823.953.peg.1030,kpsD_565
fig|59823.791.peg.246,kpsD_566
fig|488546.6.peg.533,kpsD_567
fig|2890835.4.peg.1663,kpsD_568
fig|477689.3.peg.42,kpsD_569
fig|165435.138.peg.666,kpsD_570
fig|42566.17.peg.680,kpsD_571
fig|2268180.138.peg.573,kpsD_572
fig|1283315.58.peg.1643,kpsD_573
fig|2030806.865.peg.1808,kpsD_574
fig|362413.26.peg.3220,kpsD_575
fig|159272.1543.peg.438,kpsD_576
fig|2927123.4.peg.2866,kpsD_577
fig|1948889.15.peg.1132,kpsD_578
fig|820.6464.peg.2693,kpsD_579
fig|522485.11.peg.864,kpsD_580
fig|159272.2582.peg.573,kpsD_581
fig|2049432.51.peg.549,kpsD_582
fig|201.131.peg.359,kpsD_583
fig|86473.1222.peg.1080,kpsD_584
fig|1072516.57.peg.2121,kpsD_585
fig|2927804.4.peg.710,kpsD_586
fig|85831.117.peg.1203,kpsD_587
fig|387090.261.peg.1195,kpsD_588
fig|1470347.204.peg.1488,kpsD_589
fig|2021391.1468.peg.1761,kpsD_590
fig|1891229.685.peg.2055,kpsD_591
fig|162156.549.peg.2187,kpsD_592
fig|2301481.3597.peg.1141,kpsD_593
fig|1472417.23.peg.1268,kpsD_594
fig|197.25315.peg.1154,kpsD_595
fig|28116.2378.peg.2353,kpsD_596
fig|876416.659.peg.1971,kpsD_597
fig|2921740.3.peg.2619,kpsD_598
fig|821.6416.peg.177,kpsD_599
fig|821.6440.peg.2590,kpsD_600
fig|1926660.11.peg.1687,kpsD_601
fig|239.393.peg.419,kpsD_602
fig|165435.154.peg.741,kpsD_603
fig|2030806.425.peg.910,kpsD_604
fig|1891238.1999.peg.3843,kpsD_605
fig|1889775.135.peg.637,kpsD_606
fig|1898104.4371.peg.999,kpsD_607
fig|96344.19.peg.6256,kpsD_608
fig|3132704.3.peg.2266,kpsD_609
fig|86027.1128.peg.2726,kpsD_610
fig|3374178.3.peg.4428,kpsD_611
fig|239.606.peg.1372,kpsD_612
fig|754473.5.peg.1807,kpsD_613
fig|1471202.3.peg.3338,kpsD_614
fig|162156.54.peg.2941,kpsD_615
fig|197.14709.peg.918,kpsD_616
fig|370804.597.peg.2712,kpsD_617
fig|1937528.3.peg.3799,kpsD_618
fig|370804.491.peg.1811,kpsD_619
fig|2576757.3.peg.4699,kpsD_620
fig|370804.822.peg.265,kpsD_621
fig|1917218.3.peg.99,kpsD_622
fig|1281056.3.peg.3482,kpsD_623
fig|1349605.3.peg.2849,kpsD_624
fig|56810.4.peg.2912,kpsD_625
fig|2666198.3.peg.3074,kpsD_626
fig|1916082.18.peg.3158,kpsD_627
fig|1444259.3.peg.4591,kpsD_628
fig|562.13679.peg.2142,kpsD_629
fig|1292024.3.peg.295,kpsD_630
fig|470453.3.peg.1276,kpsD_631
fig|1072516.38.peg.600,kpsD_632
fig|197.17080.peg.1437,kpsD_633
fig|195.1655.peg.574,kpsD_634
fig|2292001.3.peg.3188,kpsD_635
fig|562.57396.peg.4320,kpsD_636
fig|59823.1011.peg.2185,kpsD_637
fig|2026723.15.peg.424,kpsD_638
fig|164546.52.peg.4986,kpsD_639
fig|1323652.3.peg.4,kpsD_640
fig|1872444.799.peg.725,kpsD_641
fig|2811233.3.peg.2755,kpsD_642
fig|839.8.peg.1482,kpsD_643
fig|562.63039.peg.3957,kpsD_644
fig|1926662.15.peg.471,kpsD_645
fig|1861917.3.peg.4132,kpsD_646
fig|195.884.peg.215,kpsD_647
fig|2026681.3.peg.340,kpsD_648
fig|59823.797.peg.6,kpsD_649
fig|371601.481.peg.2167,kpsD_650
fig|476558.26.peg.3143,kpsD_651
fig|162156.196.peg.942,kpsD_652
fig|370804.1198.peg.56,kpsD_653
fig|2026737.26.peg.1763,kpsD_654
fig|370804.934.peg.1740,kpsD_655
fig|1200547.3.peg.2102,kpsD_656
