Header,internal_code
fig|32022.943.peg.1162,lic3X_481
fig|32022.551.peg.975,lic3X_482
fig|727.1275.peg.544,lic3X_483
fig|727.1725.peg.727,lic3X_484
fig|727.1267.peg.1390,lic3X_485
fig|727.1186.peg.180,lic3X_486
fig|197.6664.peg.275,lic3X_487
fig|727.546.peg.1453,lic3X_488
fig|195.3238.peg.137,lic3X_489
fig|727.3041.peg.353,lic3X_490
fig|197.15458.peg.676,lic3X_491
fig|197.24843.peg.1696,lic3X_492
fig|218.61.peg.2167,lic3X_493
fig|197.6645.peg.701,lic3X_494
fig|197.19223.peg.689,lic3X_495
fig|197.27518.peg.302,lic3X_496
fig|197.27386.peg.389,lic3X_497
fig|2838619.6.peg.1039,lic3X_498
fig|56877.29.peg.1617,lic3X_499
fig|197.15057.peg.570,lic3X_500
fig|727.1635.peg.1434,lic3X_501
fig|28080.215.peg.1132,lic3X_502
fig|727.1644.peg.459,lic3X_503
fig|727.2511.peg.1149,lic3X_504
fig|727.3125.peg.1331,lic3X_505
fig|197.21957.peg.395,lic3X_506
fig|197.6673.peg.1477,lic3X_507
fig|28080.331.peg.1294,lic3X_508
fig|197.24372.peg.286,lic3X_509
fig|727.3798.peg.1073,lic3X_510
fig|727.4174.peg.519,lic3X_511
fig|727.1484.peg.1189,lic3X_512
fig|195.2448.peg.674,lic3X_513
fig|727.1372.peg.358,lic3X_514
fig|197.16990.peg.475,lic3X_515
fig|1655500.3.peg.546,lic3X_516
fig|727.2899.peg.660,lic3X_517
fig|195.1093.peg.770,lic3X_518
fig|727.3002.peg.645,lic3X_519
fig|197.7958.peg.1043,lic3X_520
fig|1032242.3.peg.851,lic3X_521
fig|56877.32.peg.789,lic3X_522
fig|727.1442.peg.139,lic3X_523
fig|195.2441.peg.942,lic3X_524
fig|727.1760.peg.1306,lic3X_525
fig|727.1713.peg.840,lic3X_526
fig|1163739.3.peg.829,lic3X_527
fig|1031564.3.peg.1191,lic3X_528
fig|260714.24.peg.955,lic3X_529
fig|197.22936.peg.187,lic3X_530
fig|727.2296.peg.1146,lic3X_531
fig|727.1527.peg.1382,lic3X_532
fig|195.3491.peg.1660,lic3X_533
fig|197.20851.peg.1949,lic3X_534
fig|197.25291.peg.1129,lic3X_535
fig|28080.311.peg.440,lic3X_536
fig|175537.54.peg.490,lic3X_537
fig|214.52.peg.906,lic3X_538
fig|1111074.3.peg.1458,lic3X_539
fig|727.542.peg.1631,lic3X_540
fig|1661745.3.peg.1222,lic3X_541
fig|727.1245.peg.106,lic3X_542
fig|375926.3.peg.854,lic3X_543
fig|197.22235.peg.1631,lic3X_544
fig|449520.29.peg.1650,lic3X_545
fig|727.1532.peg.535,lic3X_546
fig|195.998.peg.1388,lic3X_547
fig|727.1454.peg.224,lic3X_548
fig|197575.7.peg.146,lic3X_549
fig|727.296.peg.374,lic3X_550
fig|28080.195.peg.759,lic3X_551
fig|197.22863.peg.118,lic3X_552
fig|2911613.4.peg.810,lic3X_553
fig|175537.100.peg.1037,lic3X_554
fig|728.748.peg.129,lic3X_555
fig|728.755.peg.1310,lic3X_556
fig|375926.4.peg.1055,lic3X_557
fig|727.1697.peg.1777,lic3X_558
fig|727.1550.peg.714,lic3X_559
fig|726.425.peg.1895,lic3X_560
fig|727.1658.peg.217,lic3X_561
fig|210.7803.peg.840,lic3X_562
fig|329937.5.peg.1328,lic3X_563
fig|727.1325.peg.422,lic3X_564
fig|727.1193.peg.494,lic3X_565
fig|727.1240.peg.1719,lic3X_566
fig|727.1767.peg.199,lic3X_567
fig|2911605.4.peg.942,lic3X_568
fig|747.1932.peg.2346,lic3X_569
fig|37372.44.peg.1250,lic3X_570
fig|212.58.peg.672,lic3X_571
fig|727.4175.peg.1036,lic3X_572
fig|138563.19.peg.1710,lic3X_573
fig|28080.190.peg.1321,lic3X_574
fig|28080.222.peg.151,lic3X_575
fig|2505972.3.peg.1438,lic3X_576
fig|449520.10.peg.667,lic3X_577
fig|727.300.peg.864,lic3X_578
fig|727.1686.peg.1022,lic3X_579
fig|2838619.4.peg.811,lic3X_580
fig|1440063.3.peg.1074,lic3X_581
fig|727.2992.peg.269,lic3X_582
fig|1981025.70.peg.302,lic3X_583
fig|210.8901.peg.1132,lic3X_584
fig|2735767.7.peg.1498,lic3X_585
fig|449520.35.peg.1675,lic3X_586
fig|1591088.3.peg.1138,lic3X_587
fig|727.294.peg.185,lic3X_588
fig|197.16680.peg.382,lic3X_589
fig|747.1051.peg.2055,lic3X_590
fig|197.24817.peg.1071,lic3X_591
fig|747.2256.peg.491,lic3X_592
fig|727.1569.peg.839,lic3X_593
fig|727.3017.peg.123,lic3X_594
fig|197.24833.peg.464,lic3X_595
fig|727.1756.peg.955,lic3X_596
fig|747.2147.peg.466,lic3X_597
fig|197.24813.peg.379,lic3X_598
fig|449520.3.peg.1203,lic3X_599
fig|32022.621.peg.739,lic3X_600
fig|201.32.peg.1249,lic3X_601
fig|2790656.7.peg.1637,lic3X_602
fig|727.3675.peg.174,lic3X_603
fig|56877.32.peg.1103,lic3X_604
fig|1655500.9.peg.150,lic3X_605
fig|201.117.peg.1355,lic3X_606
fig|727.1697.peg.489,lic3X_607
fig|727.3122.peg.1444,lic3X_608
fig|197.22867.peg.403,lic3X_609
fig|32022.893.peg.1226,lic3X_610
fig|2020247.3.peg.38,lic3X_611
fig|727.1694.peg.846,lic3X_612
fig|195.2449.peg.920,lic3X_613
fig|197.20756.peg.1394,lic3X_614
fig|727.3004.peg.808,lic3X_615
fig|2838619.3.peg.1016,lic3X_616
fig|28080.116.peg.489,lic3X_617
fig|205.54.peg.1385,lic3X_618
fig|210.8901.peg.1133,lic3X_619
fig|197.21971.peg.422,lic3X_620
fig|197.25095.peg.1229,lic3X_621
fig|197.25087.peg.1128,lic3X_622
fig|2202144.345.peg.88,lic3X_623
fig|728.752.peg.859,lic3X_624
fig|1232659.5.peg.1027,lic3X_625
fig|197.5172.peg.1247,lic3X_626
fig|1121269.3.peg.223,lic3X_627
fig|762965.3.peg.535,lic3X_628
fig|210.8667.peg.532,lic3X_629
fig|32022.155.peg.964,lic3X_630
fig|2838619.4.peg.817,lic3X_631
fig|2905877.7.peg.868,lic3X_632
fig|727.1788.peg.132,lic3X_633
fig|728.751.peg.851,lic3X_634
fig|727.553.peg.380,lic3X_635
fig|197.14721.peg.1426,lic3X_636
fig|727.1522.peg.98,lic3X_637
fig|1655500.8.peg.17,lic3X_638
fig|727.1690.peg.463,lic3X_639
fig|747.472.peg.15,lic3X_640
fig|727.1729.peg.742,lic3X_641
fig|727.2289.peg.1607,lic3X_642
fig|214.51.peg.1128,lic3X_643
fig|197.14642.peg.204,lic3X_644
fig|37372.31.peg.2360,lic3X_645
fig|197.13057.peg.239,lic3X_646
fig|214.42.peg.1073,lic3X_647
fig|197.22137.peg.1089,lic3X_648
fig|2911612.3.peg.1115,lic3X_649
fig|197.24955.peg.1303,lic3X_650
fig|28080.336.peg.1266,lic3X_651
fig|727.4163.peg.891,lic3X_652
fig|28080.339.peg.1156,lic3X_653
fig|32022.152.peg.1880,lic3X_654
fig|727.2158.peg.485,lic3X_655
fig|2768148.3.peg.1052,lic3X_656
fig|197.5014.peg.176,lic3X_657
fig|727.611.peg.1166,lic3X_658
fig|727.1537.peg.684,lic3X_659
fig|197.6756.peg.470,lic3X_660
fig|32022.577.peg.607,lic3X_661
fig|727.1350.peg.773,lic3X_662
fig|727.1356.peg.579,lic3X_663
fig|201.90.peg.450,lic3X_664
fig|753.32.peg.1186,lic3X_665
fig|1813019.82.peg.149,lic3X_666
fig|260714.12.peg.725,lic3X_667
fig|747.2999.peg.2159,lic3X_668
fig|727.1666.peg.1237,lic3X_669
fig|382638.14.peg.1199,lic3X_670
fig|28080.147.peg.1088,lic3X_671
fig|197.16688.peg.1088,lic3X_672
fig|727.1055.peg.366,lic3X_673
fig|214.32.peg.662,lic3X_674
fig|217.7.peg.829,lic3X_675
fig|197.23408.peg.1567,lic3X_676
fig|488545.5.peg.1291,lic3X_677
fig|727.4084.peg.715,lic3X_678
fig|195.5283.peg.1803,lic3X_679
fig|2039339.3.peg.358,lic3X_680
fig|28080.95.peg.1567,lic3X_681
fig|1813019.79.peg.992,lic3X_682
fig|201.214.peg.1255,lic3X_683
fig|2911599.4.peg.900,lic3X_684
